run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001,0001,1,20260511_071211_postcopy_01_ed6778,postcopy,wrk1,ok,2026-05-11T07:12:11Z,2026-05-11T07:12:55Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001\summary.json,,False,,,1778483561821.0,1778483561821.0,events(offset_corrected),12851.0,3449.0,10045.0,2.0,14564.0,1263.0,1263.0,1311.0,54.0,51.0,6006.0,1301.0,201.0,166.0,121.0,26.0,0.0,0.0,200.0,166.0,198.0,139.0,2.0,27.0,1778483562387.0,1778483563650.0,,2207.0,,,3218.0,1819.0,,,,,5309.0,,,,4165.0,2381.0,928.0,2947.0,3548.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.355,10.824,10.565,11.224,12.175,12.945,51.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.20999999999999908,0.40000000000000036,8734.0,-48.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0002,0002,2,20260511_071257_postcopy_02_f3b021,postcopy,wrk1,ok,2026-05-11T07:12:57Z,2026-05-11T07:13:40Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0002\summary.json,,False,,,1778483606306.0,1778483606306.0,events(offset_corrected),12348.0,3400.0,10009.0,3.0,13913.0,1113.0,1113.0,1159.0,55.0,0.0,6598.0,1149.0,201.0,160.0,133.0,24.0,0.0,0.0,201.0,159.0,201.0,135.0,0.0,24.0,1778483606868.0,1778483607981.0,,2188.0,,,3310.0,2659.0,,,,,3934.0,,,,2773.0,2346.0,934.0,2726.0,3298.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.21,10.982,10.235,10.617,11.86,12.257,50.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.02499999999999858,-0.36499999999999844,8850.0,-46.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0003,0003,3,20260511_071342_postcopy_03_94209a,postcopy,wrk1,ok,2026-05-11T07:13:42Z,2026-05-11T07:14:24Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0003\summary.json,,False,,,1778483651059.0,1778483651059.0,events(offset_corrected),12089.0,3350.0,9310.0,2.0,13668.0,1163.0,1163.0,1160.0,52.0,49.0,6102.0,1150.0,200.0,163.0,123.0,24.0,0.0,0.0,200.0,163.0,200.0,139.0,0.0,24.0,1778483651593.0,1778483652756.0,,2050.0,,,3208.0,1879.0,,,,,4878.0,,,,3747.0,2410.0,916.0,2747.0,3332.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,9.89,11.499,9.045,10.476,11.3,12.673,49.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-0.8450000000000006,-1.0229999999999997,8150.0,3.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0004,0004,4,20260511_071426_postcopy_04_22cc55,postcopy,wrk1,ok,2026-05-11T07:14:26Z,2026-05-11T07:15:09Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0004\summary.json,,False,,,1778483695661.0,1778483695661.0,events(offset_corrected),12096.0,3201.0,9580.0,2.0,13762.0,1212.0,1212.0,1210.0,68.0,50.0,6356.0,1200.0,201.0,166.0,128.0,25.0,0.0,0.0,200.0,166.0,200.0,141.0,0.0,25.0,1778483696224.0,1778483697436.0,,2340.0,,,3127.0,1878.0,,,,,4690.0,,,,3655.0,2293.0,843.0,2936.0,3484.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,9.88,10.674,9.0,9.899,11.71,12.851,50.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-0.8800000000000008,-0.7750000000000004,8370.0,2.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0005,0005,5,20260511_071511_postcopy_05_8873be,postcopy,wrk1,ok,2026-05-11T07:15:11Z,2026-05-11T07:15:55Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0005\summary.json,,False,,,1778483742026.0,1778483742026.0,events(offset_corrected),12610.0,3245.0,9838.0,2.0,14212.0,1163.0,1163.0,1161.0,78.0,50.0,6152.0,1150.0,201.0,160.0,124.0,24.0,0.0,0.0,200.0,161.0,200.0,137.0,0.0,24.0,1778483742592.0,1778483743755.0,,2130.0,,,3106.0,2101.0,,,,,5215.0,,,,4072.0,2275.0,925.0,2694.0,3267.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,11.185,12.277,9.47,10.454,10.76,11.586,52.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.7149999999999999,-1.8229999999999986,8677.0,2.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0006,0006,6,20260511_071557_postcopy_06_bf42aa,postcopy,wrk1,ok,2026-05-11T07:15:57Z,2026-05-11T07:16:41Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0006\summary.json,,False,,,1778483787179.0,1778483787179.0,events(offset_corrected),12009.0,3450.0,9935.0,3.0,14360.0,1866.0,1866.0,1810.0,44.0,50.0,6051.0,1800.0,201.0,172.0,123.0,38.0,0.0,0.0,200.0,172.0,199.0,135.0,1.0,37.0,1778483787741.0,1778483789607.0,,2049.0,,,2979.0,2038.0,,,,,4919.0,,,,3769.0,2347.0,943.0,3388.0,3828.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.74,11.7,8.98,9.745,11.16,12.407,52.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.7599999999999998,-1.955,8125.0,56.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0007,0007,7,20260511_071643_postcopy_07_06b343,postcopy,wrk1,ok,2026-05-11T07:16:43Z,2026-05-11T07:17:26Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0007\summary.json,,False,,,1778483832140.0,1778483832140.0,events(offset_corrected),12400.0,3200.0,9755.0,2.0,14063.0,1213.0,1213.0,1261.0,71.0,0.0,6197.0,1251.0,200.0,165.0,125.0,25.0,0.0,0.0,201.0,163.0,201.0,137.0,0.0,26.0,1778483832706.0,1778483833919.0,,2096.0,,,3145.0,1872.0,,,,,5014.0,,,,3925.0,2221.0,884.0,2830.0,3428.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.775,11.788,8.11,9.108,11.05,12.075,50.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.665000000000001,-2.6799999999999997,8494.0,-48.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0008,0008,8,20260511_071727_postcopy_08_717005,postcopy,wrk1,ok,2026-05-11T07:17:27Z,2026-05-11T07:18:11Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0008\summary.json,,False,,,1778483877678.0,1778483877678.0,events(offset_corrected),12551.0,3349.0,9697.0,2.0,14215.0,1212.0,1212.0,1260.0,62.0,52.0,6003.0,1250.0,200.0,166.0,121.0,25.0,0.0,0.0,200.0,166.0,199.0,140.0,1.0,26.0,1778483878258.0,1778483879470.0,,2209.0,,,2964.0,1894.0,,,,,5222.0,,,,4098.0,2332.0,885.0,2929.0,3480.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,8.435,10.022,9.19,10.254,10.73,11.793,51.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.754999999999999,0.23199999999999932,8437.0,-48.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0009,0009,9,20260511_071813_postcopy_09_3fbdba,postcopy,wrk1,ok,2026-05-11T07:18:13Z,2026-05-11T07:18:56Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0009\summary.json,,False,,,1778483923040.0,1778483923040.0,events(offset_corrected),12951.0,4200.0,9390.0,2.0,14609.0,1212.0,1212.0,1211.0,49.0,48.0,5303.0,1200.0,201.0,160.0,107.0,25.0,0.0,0.0,200.0,161.0,200.0,136.0,0.0,25.0,1778483923609.0,1778483924821.0,,2095.0,,,2962.0,1930.0,,,,,5880.0,,,,4760.0,3143.0,910.0,2729.0,3287.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.37,10.965,9.535,10.663,11.72,12.702,51.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-0.8349999999999991,-0.3019999999999996,8179.0,1.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0010,0010,10,20260511_071858_postcopy_10_f2c77e,postcopy,wrk1,ok,2026-05-11T07:18:58Z,2026-05-11T07:19:42Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0010\summary.json,,False,,,1778483967967.0,1778483967967.0,events(offset_corrected),12410.0,3302.0,9707.0,2.0,14064.0,1211.0,1211.0,1210.0,45.0,53.0,6103.0,1200.0,200.0,167.0,123.0,25.0,0.0,0.0,200.0,167.0,200.0,142.0,0.0,25.0,1778483968504.0,1778483969715.0,,2428.0,,,3032.0,1777.0,,,,,4966.0,,,,3829.0,2292.0,913.0,2931.0,3509.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,9.29,10.831,9.45,10.386,11.075,12.183,51.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.16000000000000014,-0.4450000000000003,8497.0,1.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0011,0011,11,20260511_071943_postcopy_11_90be73,postcopy,wrk1,ok,2026-05-11T07:19:43Z,2026-05-11T07:20:27Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0011\summary.json,,False,,,1778484013182.0,1778484013182.0,events(offset_corrected),12749.0,3401.0,9946.0,2.0,14417.0,1262.0,1262.0,1210.0,63.0,50.0,6004.0,1200.0,201.0,164.0,121.0,26.0,0.0,0.0,200.0,164.0,199.0,139.0,1.0,25.0,1778484013686.0,1778484014948.0,,2297.0,,,3126.0,1929.0,,,,,5160.0,,,,4032.0,2320.0,917.0,2934.0,3484.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,11.15,12.201,11.525,11.642,11.41,12.291,50.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.375,-0.559000000000001,8736.0,52.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0012,0012,12,20260511_072029_postcopy_12_d719c8,postcopy,wrk1,ok,2026-05-11T07:20:29Z,2026-05-11T07:21:13Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0012\summary.json,,False,,,1778484059678.0,1778484059678.0,events(offset_corrected),12913.0,3489.0,9911.0,2.0,14560.0,1212.0,1212.0,1211.0,60.0,49.0,5851.0,1200.0,201.0,162.0,118.0,25.0,0.0,0.0,200.0,162.0,200.0,137.0,0.0,25.0,1778484060230.0,1778484061442.0,,2446.0,,,3249.0,1921.0,,,,,5252.0,,,,4112.0,2362.0,916.0,2779.0,3344.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.875,11.47,9.88,10.581,11.795,12.511,52.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-0.9949999999999992,-0.8890000000000011,8700.0,1.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0013,0013,13,20260511_072114_postcopy_13_bdde57,postcopy,wrk1,ok,2026-05-11T07:21:14Z,2026-05-11T07:21:59Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0013\summary.json,,False,,,1778484104722.0,1778484104722.0,events(offset_corrected),12003.0,3104.0,10199.0,2.0,14264.0,1864.0,1864.0,1860.0,53.0,53.0,6403.0,1850.0,201.0,171.0,129.0,38.0,0.0,0.0,200.0,171.0,200.0,133.0,0.0,38.0,1778484105229.0,1778484107093.0,,2229.0,,,2839.0,1840.0,,,,,4852.0,,,,3823.0,2192.0,836.0,3387.0,3819.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.48,11.743,6.68,8.251,8.95,10.06,52.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-3.8000000000000007,-3.492000000000001,8339.0,4.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0014,0014,14,20260511_072200_postcopy_14_c08968,postcopy,wrk1,ok,2026-05-11T07:22:00Z,2026-05-11T07:22:43Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0014\summary.json,,False,,,1778484149816.0,1778484149816.0,events(offset_corrected),12267.0,3499.0,9458.0,2.0,13964.0,1310.0,1310.0,1260.0,44.0,49.0,5904.0,1250.0,200.0,166.0,119.0,27.0,0.0,0.0,200.0,165.0,200.0,139.0,0.0,26.0,1778484150315.0,1778484151625.0,,2164.0,,,2938.0,1853.0,,,,,5065.0,,,,3927.0,2386.0,942.0,2956.0,3526.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.52,11.379,8.77,10.062,10.4,11.845,50.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.75,-1.3170000000000002,8198.0,50.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0015,0015,15,20260511_072245_postcopy_15_ed7379,postcopy,wrk1,ok,2026-05-11T07:22:45Z,2026-05-11T07:23:29Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0015\summary.json,,False,,,1778484195410.0,1778484195410.0,events(offset_corrected),12644.0,3350.0,9897.0,2.0,14324.0,1212.0,1212.0,1160.0,54.0,51.0,6051.0,1149.0,200.0,163.0,122.0,25.0,0.0,0.0,200.0,163.0,200.0,139.0,0.0,24.0,1778484195969.0,1778484197181.0,,2239.0,,,3095.0,1946.0,,,,,5102.0,,,,3988.0,2400.0,901.0,2805.0,3368.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.895,12.088,9.915,10.883,11.64,12.828,50.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-0.9800000000000004,-1.205,8737.0,52.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0016,0016,16,20260511_072330_postcopy_16_fd167a,postcopy,wrk1,ok,2026-05-11T07:23:30Z,2026-05-11T07:24:14Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0016\summary.json,,False,,,1778484240756.0,1778484240756.0,events(offset_corrected),12941.0,2901.0,10638.0,2.0,14562.0,1213.0,1213.0,1210.0,61.0,50.0,6505.0,1200.0,200.0,163.0,131.0,25.0,0.0,0.0,200.0,162.0,200.0,137.0,0.0,25.0,1778484241244.0,1778484242457.0,,2297.0,,,3170.0,2491.0,,,,,4769.0,,,,3813.0,2036.0,774.0,2797.0,3386.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.08,11.431,7.625,8.714,10.31,11.214,52.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.455,-2.7169999999999987,9428.0,3.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0017,0017,17,20260511_072416_postcopy_17_d1bb68,postcopy,wrk1,ok,2026-05-11T07:24:16Z,2026-05-11T07:24:59Z,,True,True,False,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0017\summary.json,,False,,,1778484285533.0,1778484285533.0,events(offset_corrected),12207.0,3448.0,9450.0,2.0,13959.0,1213.0,1213.0,1210.0,51.0,53.0,6060.0,1200.0,201.0,161.0,122.0,25.0,0.0,0.0,200.0,161.0,199.0,136.0,1.0,25.0,1778484286139.0,1778484287352.0,,2118.0,,,2817.0,1792.0,,,,,5254.0,,,,4100.0,2310.0,924.0,2811.0,3355.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,9.245,10.818,10.27,11.211,11.275,12.595,49.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,1.0250000000000004,0.3930000000000007,8240.0,3.0
